year,field,subfield,median_ref_age,mean_ref_age,p25,p75,n_papers,n_references,total_refs,ref_resolution_rate
2000,Computer Science,All,7.0,10.33564650899306,3.0,13.0,1000,14122,17556,0.899
2001,Computer Science,All,7.0,10.406638446549755,3.0,13.0,1000,14883,17972,0.909
2002,Computer Science,All,8.0,9.994755244755245,4.0,14.0,1000,11440,13660,0.891
2003,Computer Science,All,6.0,9.493695366287614,3.0,12.0,1000,12927,14993,0.896
2004,Computer Science,All,6.0,9.2565171364298,2.0,12.0,1000,15114,17656,0.89
2005,Computer Science,All,6.0,9.471341967484156,3.0,12.0,1000,14516,16706,0.9
2006,Computer Science,All,6.0,9.202857668485926,3.0,12.0,1000,16307,18610,0.9
2007,Computer Science,All,6.0,9.734686524141244,3.0,13.0,1000,16652,19049,0.9
2008,Computer Science,All,6.0,9.811863896416742,3.0,13.0,1000,16605,18659,0.911
2009,Computer Science,All,6.0,9.62665557997268,3.0,12.0,1000,16837,19115,0.903
2010,Computer Science,All,7.0,9.801066122263808,3.0,12.0,1000,17634,20134,0.896
2011,Computer Science,All,7.0,11.146665294359819,4.0,14.0,1000,19432,21715,0.912
2012,Computer Science,All,7.0,10.52202150302898,4.0,13.0,1000,18323,20587,0.906
2013,Computer Science,All,7.0,10.389914521268524,3.0,13.0,1000,19771,22204,0.906
2014,Computer Science,All,7.0,10.350353293104337,3.0,13.0,1000,19389,21939,0.894
2015,Computer Science,All,7.0,10.616026955757398,3.0,13.0,1000,20478,23333,0.888
2016,Computer Science,All,8.0,10.926767339302419,3.0,14.0,1000,22449,25369,0.894
2017,Computer Science,All,7.0,10.075359148978476,3.0,13.0,1000,20117,22890,0.885
2018,Computer Science,All,7.0,10.28149905972956,3.0,14.0,1000,22334,25727,0.874
2019,Computer Science,All,7.0,10.676375560592179,3.0,14.0,1000,20737,24722,0.843
2020,Computer Science,All,7.0,10.130351411063405,3.0,13.0,1000,23989,28788,0.837
2021,Computer Science,All,6.0,9.748706914387387,3.0,13.0,1000,24167,29558,0.82
2022,Computer Science,All,6.0,9.75466302445687,3.0,12.0,1000,23429,29090,0.807
2023,Computer Science,All,6.0,9.511262859169918,3.0,12.0,1000,22552,28164,0.803
2024,Computer Science,All,6.0,9.236990183595514,3.0,12.0,1000,24347,30722,0.793
2025,Computer Science,All,5.0,9.257062253150274,3.0,12.0,1000,26585,31548,0.843
2000,Medicine,All,6.0,9.094862420627285,3.0,12.0,1000,25985,29748,0.96
2001,Medicine,All,6.0,8.640110791209592,3.0,11.0,1000,27439,29171,0.957
2002,Medicine,All,6.0,8.839395913986738,3.0,11.0,1000,26089,27859,0.951
2003,Medicine,All,6.0,8.92384821827941,3.0,12.0,1000,26828,28408,0.955
2004,Medicine,All,6.0,8.795110792447677,3.0,11.0,1000,29289,30983,0.956
2005,Medicine,All,6.0,8.917597187758478,3.0,12.0,1000,29016,30546,0.961
2006,Medicine,All,6.0,9.378089756811605,3.0,12.0,1000,30059,31799,0.955
2007,Medicine,All,6.0,9.220241360394953,3.0,12.0,1000,29168,30725,0.958
2008,Medicine,All,7.0,9.49575785370328,3.0,12.0,1000,30527,32221,0.957
2009,Medicine,All,7.0,9.274239311221994,3.0,12.0,1000,30663,32349,0.956
2010,Medicine,All,7.0,9.541880946258678,3.0,12.0,1000,31112,32524,0.964
2011,Medicine,All,7.0,9.743568816923478,3.0,13.0,1000,30632,32273,0.957
2012,Medicine,All,7.0,10.062017287277747,3.0,13.0,1000,30427,31864,0.961
2013,Medicine,All,7.0,9.999011983681795,3.0,13.0,1000,31376,32897,0.959
2014,Medicine,All,8.0,10.40725680325305,4.0,14.0,1000,31970,33465,0.961
2015,Medicine,All,8.0,10.637506300403226,4.0,14.0,1000,31744,33221,0.96
2016,Medicine,All,8.0,10.44371389947155,4.0,14.0,1000,32548,34122,0.957
2017,Medicine,All,8.0,10.68369262443987,4.0,14.0,1000,33028,34896,0.949
2018,Medicine,All,8.0,10.303569401884008,4.0,14.0,1000,35244,37279,0.948
2019,Medicine,All,8.0,10.444708144320606,4.0,14.0,1000,33287,35385,0.943
2020,Medicine,All,7.0,9.895369108371105,4.0,13.0,1000,31549,34598,0.913
2021,Medicine,All,7.0,10.40110546758291,3.0,14.0,1000,33470,37602,0.891
2022,Medicine,All,7.0,10.098130989906709,3.0,14.0,1000,31407,35431,0.887
2023,Medicine,All,7.0,10.27460594293988,3.0,14.0,1000,30389,33914,0.896
2024,Medicine,All,7.0,9.983749121574139,4.0,13.0,1000,34152,39130,0.873
2025,Medicine,All,7.0,9.438285596538224,3.0,13.0,1000,33971,38209,0.889
2000,Physics and Astronomy,All,7.0,10.576358881055265,3.0,14.0,1000,17588,19071,0.94
2001,Physics and Astronomy,All,7.0,10.62505364806867,3.0,14.0,1000,18640,20112,0.943
2002,Physics and Astronomy,All,7.0,10.662781844802343,3.0,14.0,1000,17075,18536,0.934
2003,Physics and Astronomy,All,7.0,10.606539537775936,3.0,14.0,1000,19298,20969,0.934
2004,Physics and Astronomy,All,7.0,11.336831683168317,3.0,15.0,1000,20200,22060,0.93
2005,Physics and Astronomy,All,8.0,12.801590787098034,3.0,18.0,1000,20493,22298,0.931
2006,Physics and Astronomy,All,7.0,11.219037291971148,3.0,15.0,1000,21211,22974,0.935
2007,Physics and Astronomy,All,8.0,11.645433234153819,3.0,15.0,1000,22182,23997,0.935
2008,Physics and Astronomy,All,7.0,11.701077605723082,3.0,16.0,1000,22086,23906,0.933
2009,Physics and Astronomy,All,7.0,11.952881033526195,3.0,16.0,1000,25234,27348,0.931
2010,Physics and Astronomy,All,7.0,11.582240361374172,3.0,15.0,1000,25237,27321,0.932
2011,Physics and Astronomy,All,7.0,11.6024737070154,3.0,15.0,1000,25387,27577,0.928
2012,Physics and Astronomy,All,8.0,12.471683212996389,3.0,16.0,1000,26592,29182,0.92
2013,Physics and Astronomy,All,7.0,11.826091945230628,3.0,15.0,1000,26146,28805,0.918
2014,Physics and Astronomy,All,8.0,12.753846694301973,4.0,17.0,1000,28466,31325,0.915
2015,Physics and Astronomy,All,8.0,12.597263965177738,4.0,16.0,1000,28947,31770,0.919
2016,Physics and Astronomy,All,8.0,12.381084391722004,4.0,16.0,1000,31022,34441,0.905
2017,Physics and Astronomy,All,8.0,12.871636974347153,4.0,17.0,1000,30367,33627,0.906
2018,Physics and Astronomy,All,8.0,13.125079847908745,4.0,17.0,1000,32875,37019,0.892
2019,Physics and Astronomy,All,9.0,14.05372172148272,4.0,18.0,1000,33506,38308,0.878
2020,Physics and Astronomy,All,9.0,13.882478749657253,4.0,18.0,1000,36470,41968,0.872
2021,Physics and Astronomy,All,9.0,13.591625822713906,4.0,17.0,1000,35705,41771,0.857
2022,Physics and Astronomy,All,9.0,13.572818754837996,4.0,18.0,1000,36172,42549,0.852
2023,Physics and Astronomy,All,9.0,13.220302074318099,4.0,17.0,1000,35819,42492,0.844
2024,Physics and Astronomy,All,9.0,13.354026124965259,4.0,18.0,1000,39579,46520,0.851
2025,Physics and Astronomy,All,9.0,13.609101701622476,4.0,18.0,1000,37905,43912,0.863
2000,Mathematics,All,10.0,14.332481990831695,4.0,19.0,1000,15270,17838,0.899
2001,Mathematics,All,9.0,13.836740146960588,4.0,19.0,1000,14970,17439,0.902
2002,Mathematics,All,10.0,14.733937397034596,5.0,20.0,1000,15782,18320,0.9
2003,Mathematics,All,10.0,13.933143575825776,4.0,19.0,1000,15107,17397,0.902
2004,Mathematics,All,10.0,14.703657658836615,4.0,20.0,1000,15283,17488,0.907
2005,Mathematics,All,11.0,15.42439297025399,5.0,22.0,1000,16103,18399,0.902
2006,Mathematics,All,10.0,14.648921872260855,4.0,20.0,1000,17113,19626,0.9
2007,Mathematics,All,10.0,14.810272355616975,4.0,21.0,1000,17367,19777,0.907
2008,Mathematics,All,10.0,15.154807400667273,4.0,21.0,1000,16485,18567,0.913
2009,Mathematics,All,10.0,14.99683016349683,4.0,20.0,1000,17982,20457,0.903
2010,Mathematics,All,10.0,14.650723322479047,4.0,20.0,1000,18733,21192,0.905
2011,Mathematics,All,10.0,15.137615632470638,4.0,21.0,1000,19242,21744,0.905
2012,Mathematics,All,10.0,15.694140862173649,4.0,21.0,1000,19764,22398,0.9
2013,Mathematics,All,10.0,15.685922772879294,5.0,22.0,1000,19734,22301,0.902
2014,Mathematics,All,11.0,16.194736041381407,5.0,22.0,1000,19719,22360,0.897
2015,Mathematics,All,11.0,15.908582266477003,5.0,21.0,1000,21090,23873,0.898
2016,Mathematics,All,11.0,15.64070102014125,5.0,21.0,1000,19115,21840,0.887
2017,Mathematics,All,11.0,15.881472212633758,5.0,22.0,1000,23176,26375,0.886
2018,Mathematics,All,11.0,16.366431357978822,5.0,22.0,1000,21532,24758,0.877
2019,Mathematics,All,12.0,17.193036261952013,5.0,23.0,1000,22172,25700,0.869
2020,Mathematics,All,10.0,15.611630036630036,4.0,21.0,1000,21840,25865,0.851
2021,Mathematics,All,9.0,13.911357218496294,3.0,19.0,1000,22664,27115,0.842
2022,Mathematics,All,9.0,14.891105535772095,3.0,20.0,1000,24712,29585,0.838
2023,Mathematics,All,9.0,14.814043275350022,3.0,20.0,1000,23570,27982,0.844
2024,Mathematics,All,10.0,16.36074642886632,4.0,20.0,1000,24222,28536,0.849
2025,Mathematics,All,10.0,15.412562509471131,4.0,21.0,1000,26396,30662,0.861
2000,Chemistry,All,8.0,11.524426078971533,4.0,16.0,1000,21780,22864,0.961
2001,Chemistry,All,8.0,11.675548964263502,4.0,16.0,1000,20903,21941,0.964
2002,Chemistry,All,7.0,10.880934476362361,3.0,14.0,1000,19947,20992,0.961
2003,Chemistry,All,7.0,11.148980141971427,3.0,15.0,1000,22258,23250,0.966
2004,Chemistry,All,7.0,11.553859394817902,3.0,16.0,1000,22076,23059,0.966
2005,Chemistry,All,8.0,12.859917371327079,3.0,17.0,1000,25899,26936,0.968
2006,Chemistry,All,8.0,12.07135905149531,3.0,16.0,1000,22604,23421,0.971
2007,Chemistry,All,7.0,11.201244377180814,3.0,15.0,1000,23787,24713,0.968
2008,Chemistry,All,7.0,11.251807330195023,4.0,15.0,1000,23792,24739,0.966
2009,Chemistry,All,7.0,11.417206751655865,3.0,15.0,1000,28082,29189,0.966
2010,Chemistry,All,7.0,10.611732987509384,3.0,14.0,1000,29302,30280,0.972
2011,Chemistry,All,7.0,11.676419800460476,3.0,14.0,1000,31272,32373,0.969
2012,Chemistry,All,7.0,11.397500781005936,3.0,15.0,1000,32010,33088,0.97
2013,Chemistry,All,7.0,11.878887363457292,4.0,14.0,1000,33506,34685,0.969
2014,Chemistry,All,7.0,11.120393696174352,3.0,14.0,1000,34138,35302,0.969
2015,Chemistry,All,7.0,10.72832741606329,3.0,14.0,1000,35771,37076,0.966
2016,Chemistry,All,7.0,11.501708621364289,3.0,15.0,1000,38335,39823,0.965
2017,Chemistry,All,7.0,11.073008311865065,3.0,14.0,1000,41146,42585,0.968
2018,Chemistry,All,7.0,10.931211956252783,3.0,14.0,1000,40414,42059,0.962
2019,Chemistry,All,7.0,10.982836452553371,3.0,14.0,1000,42532,44712,0.952
2020,Chemistry,All,7.0,10.615158154183213,3.0,14.0,1000,43818,46495,0.943
2021,Chemistry,All,7.0,11.164685093479351,3.0,14.0,1000,45839,49387,0.929
2022,Chemistry,All,7.0,11.036495397271006,3.0,14.0,1000,45951,49629,0.926
2023,Chemistry,All,7.0,10.362664063347435,3.0,13.0,1000,46095,50110,0.92
2024,Chemistry,All,7.0,10.634078152218327,3.0,14.0,1000,46499,50712,0.917
2025,Chemistry,All,6.0,10.257497956531763,3.0,13.0,1000,47713,52025,0.917
2000,"Economics, Econometrics and Finance",All,7.0,10.776648927592325,3.0,14.0,1000,18603,23029,0.87
2001,"Economics, Econometrics and Finance",All,7.0,10.963918856139989,3.0,14.0,1000,19373,23803,0.875
2002,"Economics, Econometrics and Finance",All,8.0,11.870977967982247,4.0,15.0,1000,18927,23021,0.874
2003,"Economics, Econometrics and Finance",All,7.0,10.96489519807308,3.0,14.0,1000,19513,23741,0.868
2004,"Economics, Econometrics and Finance",All,9.0,12.529753017958452,4.0,16.0,1000,23443,28306,0.867
2005,"Economics, Econometrics and Finance",All,8.0,12.382724194044949,4.0,16.0,1000,22737,27464,0.871
2006,"Economics, Econometrics and Finance",All,8.0,11.972706975896477,4.0,16.0,1000,21947,26601,0.866
2007,"Economics, Econometrics and Finance",All,8.0,12.035609959660592,4.0,16.0,1000,21567,25747,0.872
2008,"Economics, Econometrics and Finance",All,8.0,11.884749222846008,4.0,16.0,1000,21553,25892,0.863
2009,"Economics, Econometrics and Finance",All,8.0,11.798765725136482,4.0,15.0,1000,21065,25148,0.871
2010,"Economics, Econometrics and Finance",All,8.0,12.139431249138605,4.0,16.0,1000,21767,25864,0.874
2011,"Economics, Econometrics and Finance",All,9.0,12.213780589932075,4.0,16.0,1000,21494,25984,0.859
2012,"Economics, Econometrics and Finance",All,9.0,12.638159313408375,4.0,17.0,1000,23187,27516,0.866
2013,"Economics, Econometrics and Finance",All,9.0,12.701395551679022,4.0,17.0,1000,22930,27238,0.866
2014,"Economics, Econometrics and Finance",All,9.0,13.420252332223729,5.0,18.0,1000,24333,28584,0.869
2015,"Economics, Econometrics and Finance",All,9.0,13.430790728259083,4.0,18.0,1000,24332,28441,0.873
2016,"Economics, Econometrics and Finance",All,10.0,13.817159919206112,5.0,18.0,1000,22774,26644,0.869
2017,"Economics, Econometrics and Finance",All,9.0,12.758209588459907,4.0,17.0,1000,23570,27839,0.856
2018,"Economics, Econometrics and Finance",All,9.0,13.276254364285434,4.0,17.0,1000,25491,30242,0.851
2019,"Economics, Econometrics and Finance",All,10.0,13.46770825564919,4.0,18.0,1000,26818,31404,0.861
2020,"Economics, Econometrics and Finance",All,9.0,12.725545843266357,4.0,17.0,1000,26427,31413,0.849
2021,"Economics, Econometrics and Finance",All,8.0,12.367155204810222,4.0,17.0,1000,26610,31378,0.853
2022,"Economics, Econometrics and Finance",All,7.0,11.237125748502994,3.0,15.0,1000,25885,30695,0.846
2023,"Economics, Econometrics and Finance",All,7.0,10.888074345588507,3.0,15.0,1000,27009,31797,0.851
2024,"Economics, Econometrics and Finance",All,8.0,11.90937981194509,4.0,16.0,1000,30523,35271,0.866
2025,"Economics, Econometrics and Finance",All,7.0,10.969878918560292,3.0,14.0,1000,30145,35059,0.86
2000,Agricultural and Biological Sciences,All,8.0,11.452203953122266,4.0,15.0,1000,22868,25100,0.937
2001,Agricultural and Biological Sciences,All,8.0,11.335860531116968,4.0,15.0,1000,24665,26965,0.935
2002,Agricultural and Biological Sciences,All,7.0,11.090054317287882,4.0,14.0,1000,26695,28974,0.939
2003,Agricultural and Biological Sciences,All,8.0,11.751218397806884,4.0,15.0,1000,26264,28687,0.934
2004,Agricultural and Biological Sciences,All,8.0,11.572468613030235,4.0,15.0,1000,26922,29111,0.94
2005,Agricultural and Biological Sciences,All,8.0,12.297725731015031,4.0,16.0,1000,28009,30149,0.946
2006,Agricultural and Biological Sciences,All,8.0,12.064433504091545,4.0,15.0,1000,30062,32250,0.945
2007,Agricultural and Biological Sciences,All,8.0,11.887574907560882,4.0,16.0,1000,31372,33749,0.943
2008,Agricultural and Biological Sciences,All,8.0,12.342198438883077,4.0,16.0,1000,24854,26721,0.942
